ordinal	global_index	date	sender	text_one_line
1	35	20.04.2019 11:18:49 UTC-05:00	Jrk Bgrt	Ok.. somebody has cracked the first code.
2	36	20.04.2019 11:19:00 UTC-05:00	Jrk Bgrt	that was way faster than expected.
3	38	20.04.2019 11:21:57 UTC-05:00	Jrk Bgrt	The first part. Maybe the puzzle has multiple stages 😉.
4	40	20.04.2019 11:22:36 UTC-05:00	Jrk Bgrt	It is.
5	46	20.04.2019 11:41:14 UTC-05:00	Jrk Bgrt	It's a way to protect websites against cross site request forgery but the loadbalancer is a bitch on multiple tries apparently.
6	144	22.04.2019 09:28:08 UTC-05:00	Jrk Bgrt	wrong chat RKT [] 😊
7	148	22.04.2019 09:39:49 UTC-05:00	Jrk Bgrt	😂
8	155	22.04.2019 14:48:52 UTC-05:00	Jrk Bgrt	5ac407837447fba24ba2802e4d1e9aecb4580aa29fef1088cc387c180b746f75
9	156	22.04.2019 14:49:09 UTC-05:00	Jrk Bgrt	just try hit your options against that hash.
10	159	22.04.2019 16:24:17 UTC-05:00	Jrk Bgrt	Puzzle token issue for stage 1 seems to be resolved.
11	162	22.04.2019 16:26:42 UTC-05:00	Jrk Bgrt	https://passwordsgenerator.net/sha256-hash-generator/
12	164	22.04.2019 16:26:51 UTC-05:00	Jrk Bgrt	or just get yourself a python script
13	167	22.04.2019 16:28:13 UTC-05:00	Jrk Bgrt	a sticker
14	184	22.04.2019 17:29:02 UTC-05:00	Jrk Bgrt	A hash which we provided as the website was giving a lot of token errors. With this hash the puzzlers can try their passwords instead of firing them at the website.
15	231	23.04.2019 13:57:51 UTC-05:00	Jrk Bgrt	Ewout managed to crack the april 1st puzzle. He was the first to solve it.
16	386	27.04.2019 10:46:58 UTC-05:00	Jrk Bgrt	hahahaha :D
17	387	27.04.2019 10:47:07 UTC-05:00	Jrk Bgrt	back to the pile!
18	405	29.04.2019 17:35:29 UTC-05:00	Jrk Bgrt	I personally don't mind you talkinig in another language in  this chat tbh although I do prefer english to be the standard language as I assume most of us will be able to follow the conversations. The main chat of GSMG is english only.
19	502	08.05.2019 08:20:21 UTC-05:00	Jrk Bgrt	Apparently somebody managed to get into Phase 3 🧐
20	505	08.05.2019 08:34:39 UTC-05:00	Jrk Bgrt	Nobody knows
21	661	14.05.2019 09:49:49 UTC-05:00	Jrk Bgrt	👌
22	662	14.05.2019 09:51:40 UTC-05:00	Jrk Bgrt	Quests might* be scams. We didn't promote this puzzle nor is it unsolvalble. Please enjoy the puzzle or continue your journey.
23	666	14.05.2019 09:53:59 UTC-05:00	Jrk Bgrt	Sure, once it's solved.
24	669	14.05.2019 10:01:11 UTC-05:00	Jrk Bgrt	I suppose the btc price will be above 10k at the next halving.
25	674	17.05.2019 17:39:21 UTC-05:00	Jrk Bgrt	Dear all, somebody pointed out that there might be a mistake in phase III and that is correct unfortunately. The mistake makes it nearly impossible to solve unless you'd know where to add 1 extra character between the 3 answers. My sincerest apologies for this, I'll fix this a soon as I've found a decent spot to do so as I'm on holiday atm. Again, 1000 times sorry, I'm aware I might have wasted a lot of time for some :-(...
26	675	17.05.2019 17:43:46 UTC-05:00	Jrk Bgrt	Here's the hint in order to bypass the mistake: \n  \n giveit = givetit
27	677	17.05.2019 19:04:04 UTC-05:00	Jrk Bgrt	Correct.
28	678	17.05.2019 19:15:22 UTC-05:00	Jrk Bgrt	For those feeling bad about having wasted time on my typo. I might feel even worse as I've tested the entire puzzle 3 times with the same string which had the typo in it 😒. I'll kill some braincells tonight with tasteless alcohol in order to forget this blunder.
29	681	17.05.2019 21:30:08 UTC-05:00	Jrk Bgrt	The issue is within the 3th phase. Not in going from 2 to 3.
30	682	17.05.2019 21:30:34 UTC-05:00	Jrk Bgrt	Once you have to work with give(t)it you'll know.
31	683	18.05.2019 11:26:26 UTC-05:00	Jrk Bgrt	"So, after yesterday's 'hint' a team of puzzlers has made an unbelievable amount of progress in just one day... The progress they made was unforseen as we expected it to take at least a !month! to pass those parts of the puzzle. Hat off for those that managed to puzzle their way through all the ciphers and riddles in this extraordinary pace. We're really impressed by that, actually, we stand in awe for you. Congrats. \n  \n To those not having reached Phase III yet, no worries besides a bit of extra pressure. The ""last"" part of the puzzle will ensure that there's quite some time for you guys to catch up to them... although given their obvious skill this might be solved quicker than expected aswell.. time will tell. Good luck!"
32	685	18.05.2019 11:31:02 UTC-05:00	Jrk Bgrt	In case the private key hasn't been found in 2019 we'll release a tiny hint at the start of 2020, that will be the final hint. Can the private key be retrieved without that hint? Yes.
33	689	18.05.2019 11:49:27 UTC-05:00	Jrk Bgrt	Nope
34	690	18.05.2019 11:50:17 UTC-05:00	Jrk Bgrt	Part III consist out of a few stages. The last few stages are, how shall I say it, not really easy to solve for most.
35	699	18.05.2019 12:10:46 UTC-05:00	Jrk Bgrt	No, they reaced out to me on tg and send me proof of them passing the stages.
36	701	18.05.2019 12:13:29 UTC-05:00	Jrk Bgrt	No hints after stage 2 (except the 't' to fix my stupid mistake)
37	733	26.05.2019 19:25:10 UTC-05:00	Jrk Bgrt	Not completely, voice recognition might even work to pass although I'd copy past the answer as it's faster ;-).
38	735	26.05.2019 22:20:49 UTC-05:00	Jrk Bgrt	Ok you found a song. Do have a clue on how to proceed on the webpage?
39	741	28.05.2019 11:45:40 UTC-05:00	Jrk Bgrt	Nobody knows.
40	755	31.05.2019 10:02:28 UTC-05:00	Jrk Bgrt	Now we need a bot here too
41	762	31.05.2019 10:27:49 UTC-05:00	Jrk Bgrt	shitcoin
42	763	31.05.2019 10:27:53 UTC-05:00	Jrk Bgrt	😉
43	764	31.05.2019 10:28:01 UTC-05:00	Jrk Bgrt	Well.... yes
44	765	31.05.2019 10:28:28 UTC-05:00	Jrk Bgrt	Apparently folks found a new piece.
45	768	31.05.2019 10:29:13 UTC-05:00	Jrk Bgrt	Almost banned for spam 😋
46	771	31.05.2019 10:32:29 UTC-05:00	Jrk Bgrt	/daysandbox_set [] safe_hours=720
47	937	27.06.2019 16:38:51 UTC-05:00	Jrk Bgrt	🌱
48	938	27.06.2019 16:39:32 UTC-05:00	Jrk Bgrt	🛣
49	1079	10.08.2019 11:50:10 UTC-05:00	Jrk Bgrt	You'll only know when you've solved that part.
50	1098	04.09.2019 02:58:16 UTC-05:00	Jrk Bgrt	Still no hints ;-)
51	1106	22.09.2019 17:55:01 UTC-05:00	Jrk Bgrt	Found it by now?
52	1110	22.09.2019 18:00:48 UTC-05:00	Jrk Bgrt	7 parts right?
53	1126	26.09.2019 10:35:24 UTC-05:00	Jrk Bgrt	There may indeed a piece be found outside the main puzzle.
54	1160	13.10.2019 13:38:53 UTC-05:00	Jrk Bgrt	Gsmg.io/puzzle
55	1197	31.10.2019 20:53:04 UTC-05:00	Jrk Bgrt	Sure, what's the hint?
56	1205	03.12.2019 12:55:55 UTC-05:00	Jrk Bgrt	giveit = givetit
57	1228	31.12.2019 05:30:23 UTC-05:00	Jrk Bgrt	Hahaha, you're on it. Not an exact time, but it will be posted in this channel. It's at the start of 2020 indeed, way before the halving.
58	1229	31.12.2019 05:33:29 UTC-05:00	Jrk Bgrt	To all you peepz in advance: have a blast in the last part of 2019 and have an even better 2020. Best wishes to you all and good luck with the next puzzle piece(s) in case you manage to find them 😉!
59	1232	04.01.2020 20:01:19 UTC-05:00	Jrk Bgrt	Anybody hungry?
60	1235	04.01.2020 20:01:54 UTC-05:00	Jrk Bgrt	No, it's a dessert
61	1242	04.01.2020 20:06:01 UTC-05:00	Jrk Bgrt	Note: I might be in a trolling mood.
62	1255	12.01.2020 15:52:32 UTC-05:00	Jrk Bgrt	👆
63	1275	13.01.2020 11:40:54 UTC-05:00	Jrk Bgrt	Hint to be expected within a few days. Note: not trolling with scripted cake this time.
64	1282	14.01.2020 05:38:06 UTC-05:00	Jrk Bgrt	Roses are White but often Red. \n Yellow has a number and so does Blue. \n Go back to the first puzzle piece without further ado. \n  \n It might have shown you only one door, beware that the rabbits nest may contain a whole lot more. \n  \n Hush hush.
65	1283	14.01.2020 05:38:49 UTC-05:00	Jrk Bgrt	Good luck 👍
66	1288	27.01.2020 10:21:35 UTC-05:00	Jrk Bgrt	Might have been fixed fyi 👆
67	1290	27.01.2020 11:00:04 UTC-05:00	Jrk Bgrt	Would be nice, not required
68	1298	20.02.2020 10:31:58 UTC-05:00	Jrk Bgrt	😎
