ordinal	global_index	date	text_one_line
1	35	20.04.2019 11:18:49 UTC-05:00	Ok.. somebody has cracked the first code.
2	36	20.04.2019 11:19:00 UTC-05:00	that was way faster than expected.
3	38	20.04.2019 11:21:57 UTC-05:00	The first part. Maybe the puzzle has multiple stages 😉.
4	40	20.04.2019 11:22:36 UTC-05:00	It is.
5	46	20.04.2019 11:41:14 UTC-05:00	It's a way to protect websites against cross site request forgery but the loadbalancer is a bitch on multiple tries apparently.
6	144	22.04.2019 09:28:08 UTC-05:00	wrong chat RKT [] 😊
7	148	22.04.2019 09:39:49 UTC-05:00	😂
8	155	22.04.2019 14:48:52 UTC-05:00	5ac407837447fba24ba2802e4d1e9aecb4580aa29fef1088cc387c180b746f75
9	156	22.04.2019 14:49:09 UTC-05:00	just try hit your options against that hash.
10	159	22.04.2019 16:24:17 UTC-05:00	Puzzle token issue for stage 1 seems to be resolved.
11	162	22.04.2019 16:26:42 UTC-05:00	https://passwordsgenerator.net/sha256-hash-generator/
12	164	22.04.2019 16:26:51 UTC-05:00	or just get yourself a python script
13	167	22.04.2019 16:28:13 UTC-05:00	a sticker
14	184	22.04.2019 17:29:02 UTC-05:00	A hash which we provided as the website was giving a lot of token errors. With this hash the puzzlers can try their passwords instead of firing them at the website.
15	231	23.04.2019 13:57:51 UTC-05:00	Ewout managed to crack the april 1st puzzle. He was the first to solve it.
16	386	27.04.2019 10:46:58 UTC-05:00	hahahaha :D
17	387	27.04.2019 10:47:07 UTC-05:00	back to the pile!
18	405	29.04.2019 17:35:29 UTC-05:00	I personally don't mind you talkinig in another language in  this chat tbh although I do prefer english to be the standard language as I assume most of us will be able to follow the conversations. The main chat of GSMG is english only.
19	502	08.05.2019 08:20:21 UTC-05:00	Apparently somebody managed to get into Phase 3 🧐
20	505	08.05.2019 08:34:39 UTC-05:00	Nobody knows
21	661	14.05.2019 09:49:49 UTC-05:00	👌
22	662	14.05.2019 09:51:40 UTC-05:00	Quests might* be scams. We didn't promote this puzzle nor is it unsolvalble. Please enjoy the puzzle or continue your journey.
23	666	14.05.2019 09:53:59 UTC-05:00	Sure, once it's solved.
24	669	14.05.2019 10:01:11 UTC-05:00	I suppose the btc price will be above 10k at the next halving.
25	674	17.05.2019 17:39:21 UTC-05:00	Dear all, somebody pointed out that there might be a mistake in phase III and that is correct unfortunately. The mistake makes it nearly impossible to solve unless you'd know where to add 1 extra character between the 3 answers. My sincerest apologies for this, I'll fix this a soon as I've found a decent spot to do so as I'm on holiday atm. Again, 1000 times sorry, I'm aware I might have wasted a lot of time for some :-(...
26	675	17.05.2019 17:43:46 UTC-05:00	Here's the hint in order to bypass the mistake: /  / giveit = givetit
27	677	17.05.2019 19:04:04 UTC-05:00	Correct.
28	678	17.05.2019 19:15:22 UTC-05:00	For those feeling bad about having wasted time on my typo. I might feel even worse as I've tested the entire puzzle 3 times with the same string which had the typo in it 😒. I'll kill some braincells tonight with tasteless alcohol in order to forget this blunder.
29	681	17.05.2019 21:30:08 UTC-05:00	The issue is within the 3th phase. Not in going from 2 to 3.
30	682	17.05.2019 21:30:34 UTC-05:00	Once you have to work with give(t)it you'll know.
31	683	18.05.2019 11:26:26 UTC-05:00	"So, after yesterday's 'hint' a team of puzzlers has made an unbelievable amount of progress in just one day... The progress they made was unforseen as we expected it to take at least a !month! to pass those parts of the puzzle. Hat off for those that managed to puzzle their way through all the ciphers and riddles in this extraordinary pace. We're really impressed by that, actually, we stand in awe for you. Congrats. /  / To those not having reached Phase III yet, no worries besides a bit of extra pressure. The ""last"" part of the puzzle will ensure that there's quite some time for you guys to catch up to them... although given their obvious skill this might be solved quicker than expected aswell.. time will tell. Good luck!"
32	685	18.05.2019 11:31:02 UTC-05:00	In case the private key hasn't been found in 2019 we'll release a tiny hint at the start of 2020, that will be the final hint. Can the private key be retrieved without that hint? Yes.
33	689	18.05.2019 11:49:27 UTC-05:00	Nope
34	690	18.05.2019 11:50:17 UTC-05:00	Part III consist out of a few stages. The last few stages are, how shall I say it, not really easy to solve for most.
35	699	18.05.2019 12:10:46 UTC-05:00	No, they reaced out to me on tg and send me proof of them passing the stages.
36	701	18.05.2019 12:13:29 UTC-05:00	No hints after stage 2 (except the 't' to fix my stupid mistake)
37	733	26.05.2019 19:25:10 UTC-05:00	Not completely, voice recognition might even work to pass although I'd copy past the answer as it's faster ;-).
38	735	26.05.2019 22:20:49 UTC-05:00	Ok you found a song. Do have a clue on how to proceed on the webpage?
39	741	28.05.2019 11:45:40 UTC-05:00	Nobody knows.
40	755	31.05.2019 10:02:28 UTC-05:00	Now we need a bot here too
41	762	31.05.2019 10:27:49 UTC-05:00	shitcoin
